mesec,obcina,drzava,meritev,vrednost
2020M01,Maribor,2.42 Nova Zelandija,Prihodi turistov,1
2020M01,Maribor,2.42 Nova Zelandija,Prenočitve turistov,3
2020M01,Maribor,2.43 Druge države in ozemlja Oceanije,Prihodi turistov,
2020M01,Maribor,2.43 Druge države in ozemlja Oceanije,Prenočitve turistov,
2020M01,Maribor,2.44 Izrael,Prihodi turistov,37
2020M01,Maribor,2.44 Izrael,Prenočitve turistov,136
2020M01,Maribor,2.45 Japonska,Prihodi turistov,22
2020M01,Maribor,2.45 Japonska,Prenočitve turistov,50
2020M01,Maribor,2.46 Kitajska (Ljudska republika),Prihodi turistov,57
2020M01,Maribor,2.46 Kitajska (Ljudska republika),Prenočitve turistov,482
2020M01,Maribor,2.47 Koreja (Republika),Prihodi turistov,299
2020M01,Maribor,2.47 Koreja (Republika),Prenočitve turistov,302
2020M01,Maribor,2.48 Druge azijske države,Prihodi turistov,51
2020M01,Maribor,2.48 Druge azijske države,Prenočitve turistov,367
2020M01,Maribor,2.49 Brazilija,Prihodi turistov,19
2020M01,Maribor,2.49 Brazilija,Prenočitve turistov,127
2020M01,Maribor,2.50 Druge države Južne in Srednje Amerike,Prihodi turistov,20
2020M01,Maribor,2.50 Druge države Južne in Srednje Amerike,Prenočitve turistov,81
2020M01,Maribor,2.51 Kanada,Prihodi turistov,10
2020M01,Maribor,2.51 Kanada,Prenočitve turistov,20
2020M01,Maribor,2.52 Združene države (ZDA),Prihodi turistov,75
2020M01,Maribor,2.52 Združene države (ZDA),Prenočitve turistov,173
2020M01,Maribor,2.53 Druge države in ozemlja Severne Amerike,Prihodi turistov,
2020M01,Maribor,2.53 Druge države in ozemlja Severne Amerike,Prenočitve turistov,
2020M02,Maribor,0 Država - SKUPAJ,Prihodi turistov,10614
2020M02,Maribor,0 Država - SKUPAJ,Prenočitve turistov,29199
2020M02,Maribor,1 DOMAČI,Prihodi turistov,1964
2020M02,Maribor,1 DOMAČI,Prenočitve turistov,3590
2020M02,Maribor,2 TUJI,Prihodi turistov,8650
2020M02,Maribor,2 TUJI,Prenočitve turistov,25609
2020M02,Maribor,2.1 Avstrija,Prihodi turistov,656
2020M02,Maribor,2.1 Avstrija,Prenočitve turistov,1225
2020M02,Maribor,2.2 Belgija,Prihodi turistov,66
2020M02,Maribor,2.2 Belgija,Prenočitve turistov,170
2020M02,Maribor,2.3 Bolgarija,Prihodi turistov,79
2020M02,Maribor,2.3 Bolgarija,Prenočitve turistov,314
2020M02,Maribor,2.4 Bosna in Hercegovina,Prihodi turistov,512
2020M02,Maribor,2.4 Bosna in Hercegovina,Prenočitve turistov,1311
2020M02,Maribor,2.5 Ciper,Prihodi turistov,1
2020M02,Maribor,2.5 Ciper,Prenočitve turistov,3
2020M02,Maribor,2.6 Češka republika,Prihodi turistov,309
2020M02,Maribor,2.6 Češka republika,Prenočitve turistov,1190
2020M02,Maribor,2.7 Črna gora,Prihodi turistov,63
2020M02,Maribor,2.7 Črna gora,Prenočitve turistov,178
2020M02,Maribor,2.8 Danska,Prihodi turistov,23
2020M02,Maribor,2.8 Danska,Prenočitve turistov,62
2020M02,Maribor,2.9 Estonija,Prihodi turistov,3
2020M02,Maribor,2.9 Estonija,Prenočitve turistov,7
2020M02,Maribor,2.10 Finska,Prihodi turistov,31
2020M02,Maribor,2.10 Finska,Prenočitve turistov,85
2020M02,Maribor,2.11 Francija,Prihodi turistov,124
2020M02,Maribor,2.11 Francija,Prenočitve turistov,414
2020M02,Maribor,2.12 Grčija,Prihodi turistov,19
2020M02,Maribor,2.12 Grčija,Prenočitve turistov,66
2020M02,Maribor,2.13 Hrvaška,Prihodi turistov,1059
2020M02,Maribor,2.13 Hrvaška,Prenočitve turistov,3068
2020M02,Maribor,2.14 Irska,Prihodi turistov,18
2020M02,Maribor,2.14 Irska,Prenočitve turistov,54
2020M02,Maribor,2.15 Islandija,Prihodi turistov,
2020M02,Maribor,2.15 Islandija,Prenočitve turistov,
2020M02,Maribor,2.16 Italija,Prihodi turistov,353
2020M02,Maribor,2.16 Italija,Prenočitve turistov,839
2020M02,Maribor,2.17 Latvija,Prihodi turistov,22
2020M02,Maribor,2.17 Latvija,Prenočitve turistov,93
2020M02,Maribor,2.18 Litva,Prihodi turistov,9
2020M02,Maribor,2.18 Litva,Prenočitve turistov,50
2020M02,Maribor,2.19 Luksemburg,Prihodi turistov,4
2020M02,Maribor,2.19 Luksemburg,Prenočitve turistov,7
2020M02,Maribor,2.20 Madžarska,Prihodi turistov,1018
2020M02,Maribor,2.20 Madžarska,Prenočitve turistov,2919
2020M02,Maribor,2.21 Makedonija,Prihodi turistov,117
2020M02,Maribor,2.21 Makedonija,Prenočitve turistov,340
2020M02,Maribor,2.22 Malta,Prihodi turistov,3
2020M02,Maribor,2.22 Malta,Prenočitve turistov,3
2020M02,Maribor,2.23 Nemčija,Prihodi turistov,605
2020M02,Maribor,2.23 Nemčija,Prenočitve turistov,1489
2020M02,Maribor,2.24 Nizozemska,Prihodi turistov,82
2020M02,Maribor,2.24 Nizozemska,Prenočitve turistov,255
2020M02,Maribor,2.25 Norveška,Prihodi turistov,15
2020M02,Maribor,2.25 Norveška,Prenočitve turistov,35
2020M02,Maribor,2.26 Poljska,Prihodi turistov,156
2020M02,Maribor,2.26 Poljska,Prenočitve turistov,640
2020M02,Maribor,2.27 Portugalska,Prihodi turistov,42
2020M02,Maribor,2.27 Portugalska,Prenočitve turistov,256
2020M02,Maribor,2.28 Romunija,Prihodi turistov,282
2020M02,Maribor,2.28 Romunija,Prenočitve turistov,799
2020M02,Maribor,2.29 Ruska federacija,Prihodi turistov,214
2020M02,Maribor,2.29 Ruska federacija,Prenočitve turistov,772
2020M02,Maribor,2.30 Slovaška,Prihodi turistov,643
2020M02,Maribor,2.30 Slovaška,Prenočitve turistov,1436
2020M02,Maribor,2.31 Srbija,Prihodi turistov,874
2020M02,Maribor,2.31 Srbija,Prenočitve turistov,2801
2020M02,Maribor,2.32 Španija,Prihodi turistov,94
2020M02,Maribor,2.32 Španija,Prenočitve turistov,781
2020M02,Maribor,2.33 Švedska,Prihodi turistov,31
2020M02,Maribor,2.33 Švedska,Prenočitve turistov,84
2020M02,Maribor,2.34 Švica,Prihodi turistov,76
2020M02,Maribor,2.34 Švica,Prenočitve turistov,201
2020M02,Maribor,2.35 Turčija,Prihodi turistov,58
2020M02,Maribor,2.35 Turčija,Prenočitve turistov,811
2020M02,Maribor,2.36 Ukrajina,Prihodi turistov,182
2020M02,Maribor,2.36 Ukrajina,Prenočitve turistov,703
2020M02,Maribor,2.37 Združeno kraljestvo,Prihodi turistov,109
2020M02,Maribor,2.37 Združeno kraljestvo,Prenočitve turistov,320
2020M02,Maribor,2.38 Druge evropske države,Prihodi turistov,82
2020M02,Maribor,2.38 Druge evropske države,Prenočitve turistov,203
2020M02,Maribor,2.39 Južna Afrika,Prihodi turistov,3
2020M02,Maribor,2.39 Južna Afrika,Prenočitve turistov,3
2020M02,Maribor,2.40 Druge afriške države,Prihodi turistov,16
2020M02,Maribor,2.40 Druge afriške države,Prenočitve turistov,122
2020M02,Maribor,2.41 Avstralija,Prihodi turistov,15
2020M02,Maribor,2.41 Avstralija,Prenočitve turistov,25
2020M02,Maribor,2.42 Nova Zelandija,Prihodi turistov,4
2020M02,Maribor,2.42 Nova Zelandija,Prenočitve turistov,4
2020M02,Maribor,2.43 Druge države in ozemlja Oceanije,Prihodi turistov,
2020M02,Maribor,2.43 Druge države in ozemlja Oceanije,Prenočitve turistov,
2020M02,Maribor,2.44 Izrael,Prihodi turistov,18
2020M02,Maribor,2.44 Izrael,Prenočitve turistov,41
2020M02,Maribor,2.45 Japonska,Prihodi turistov,42
2020M02,Maribor,2.45 Japonska,Prenočitve turistov,71
2020M02,Maribor,2.46 Kitajska (Ljudska republika),Prihodi turistov,31
2020M02,Maribor,2.46 Kitajska (Ljudska republika),Prenočitve turistov,338
2020M02,Maribor,2.47 Koreja (Republika),Prihodi turistov,297
2020M02,Maribor,2.47 Koreja (Republika),Prenočitve turistov,300
2020M02,Maribor,2.48 Druge azijske države,Prihodi turistov,66
2020M02,Maribor,2.48 Druge azijske države,Prenočitve turistov,378
2020M02,Maribor,2.49 Brazilija,Prihodi turistov,24
2020M02,Maribor,2.49 Brazilija,Prenočitve turistov,85
2020M02,Maribor,2.50 Druge države Južne in Srednje Amerike,Prihodi turistov,17
2020M02,Maribor,2.50 Druge države Južne in Srednje Amerike,Prenočitve turistov,46
2020M02,Maribor,2.51 Kanada,Prihodi turistov,23
2020M02,Maribor,2.51 Kanada,Prenočitve turistov,32
2020M02,Maribor,2.52 Združene države (ZDA),Prihodi turistov,60
2020M02,Maribor,2.52 Združene države (ZDA),Prenočitve turistov,180
2020M02,Maribor,2.53 Druge države in ozemlja Severne Amerike,Prihodi turistov,
2020M02,Maribor,2.53 Druge države in ozemlja Severne Amerike,Prenočitve turistov,
2020M03,Maribor,0 Država - SKUPAJ,Prihodi turistov,3192
2020M03,Maribor,0 Država - SKUPAJ,Prenočitve turistov,12670
2020M03,Maribor,1 DOMAČI,Prihodi turistov,829
2020M03,Maribor,1 DOMAČI,Prenočitve turistov,1471
2020M03,Maribor,2 TUJI,Prihodi turistov,2363
2020M03,Maribor,2 TUJI,Prenočitve turistov,11199
2020M03,Maribor,2.1 Avstrija,Prihodi turistov,223
2020M03,Maribor,2.1 Avstrija,Prenočitve turistov,314
2020M03,Maribor,2.2 Belgija,Prihodi turistov,12
2020M03,Maribor,2.2 Belgija,Prenočitve turistov,36
2020M03,Maribor,2.3 Bolgarija,Prihodi turistov,29
2020M03,Maribor,2.3 Bolgarija,Prenočitve turistov,251
2020M03,Maribor,2.4 Bosna in Hercegovina,Prihodi turistov,262
2020M03,Maribor,2.4 Bosna in Hercegovina,Prenočitve turistov,624
2020M03,Maribor,2.5 Ciper,Prihodi turistov,
2020M03,Maribor,2.5 Ciper,Prenočitve turistov,
2020M03,Maribor,2.6 Češka republika,Prihodi turistov,52
2020M03,Maribor,2.6 Češka republika,Prenočitve turistov,520
2020M03,Maribor,2.7 Črna gora,Prihodi turistov,37
2020M03,Maribor,2.7 Črna gora,Prenočitve turistov,144
2020M03,Maribor,2.8 Danska,Prihodi turistov,135
2020M03,Maribor,2.8 Danska,Prenočitve turistov,797
2020M03,Maribor,2.9 Estonija,Prihodi turistov,8
2020M03,Maribor,2.9 Estonija,Prenočitve turistov,28
2020M03,Maribor,2.10 Finska,Prihodi turistov,13
2020M03,Maribor,2.10 Finska,Prenočitve turistov,101
2020M03,Maribor,2.11 Francija,Prihodi turistov,39
2020M03,Maribor,2.11 Francija,Prenočitve turistov,288
2020M03,Maribor,2.12 Grčija,Prihodi turistov,10
2020M03,Maribor,2.12 Grčija,Prenočitve turistov,50
2020M03,Maribor,2.13 Hrvaška,Prihodi turistov,261
2020M03,Maribor,2.13 Hrvaška,Prenočitve turistov,1029
2020M03,Maribor,2.14 Irska,Prihodi turistov,8
2020M03,Maribor,2.14 Irska,Prenočitve turistov,27
2020M03,Maribor,2.15 Islandija,Prihodi turistov,
2020M03,Maribor,2.15 Islandija,Prenočitve turistov,
2020M03,Maribor,2.16 Italija,Prihodi turistov,51
2020M03,Maribor,2.16 Italija,Prenočitve turistov,135
2020M03,Maribor,2.17 Latvija,Prihodi turistov,6
2020M03,Maribor,2.17 Latvija,Prenočitve turistov,8
