mesec,obcina,drzava,meritev,vrednost
2021M01,Maribor,0 Država - SKUPAJ,Prenočitve turistov,3960
2021M01,Maribor,1 DOMAČI,Prihodi turistov,201
2021M01,Maribor,1 DOMAČI,Prenočitve turistov,510
2021M01,Maribor,2 TUJI,Prihodi turistov,454
2021M01,Maribor,2 TUJI,Prenočitve turistov,3450
2021M01,Maribor,2.1 Avstrija,Prihodi turistov,55
2021M01,Maribor,2.1 Avstrija,Prenočitve turistov,107
2021M01,Maribor,2.2 Belgija,Prihodi turistov,2
2021M01,Maribor,2.2 Belgija,Prenočitve turistov,2
2021M01,Maribor,2.3 Bolgarija,Prihodi turistov,3
2021M01,Maribor,2.3 Bolgarija,Prenočitve turistov,3
2021M01,Maribor,2.4 Bosna in Hercegovina,Prihodi turistov,44
2021M01,Maribor,2.4 Bosna in Hercegovina,Prenočitve turistov,192
2021M01,Maribor,2.5 Ciper,Prihodi turistov,
2021M01,Maribor,2.5 Ciper,Prenočitve turistov,
2021M01,Maribor,2.6 Češka republika,Prihodi turistov,3
2021M01,Maribor,2.6 Češka republika,Prenočitve turistov,29
2021M01,Maribor,2.7 Črna gora,Prihodi turistov,16
2021M01,Maribor,2.7 Črna gora,Prenočitve turistov,333
2021M01,Maribor,2.8 Danska,Prihodi turistov,2
2021M01,Maribor,2.8 Danska,Prenočitve turistov,3
2021M01,Maribor,2.9 Estonija,Prihodi turistov,1
2021M01,Maribor,2.9 Estonija,Prenočitve turistov,1
2021M01,Maribor,2.10 Finska,Prihodi turistov,
2021M01,Maribor,2.10 Finska,Prenočitve turistov,
2021M01,Maribor,2.11 Francija,Prihodi turistov,3
2021M01,Maribor,2.11 Francija,Prenočitve turistov,127
2021M01,Maribor,2.12 Grčija,Prihodi turistov,
2021M01,Maribor,2.12 Grčija,Prenočitve turistov,
2021M01,Maribor,2.13 Hrvaška,Prihodi turistov,46
2021M01,Maribor,2.13 Hrvaška,Prenočitve turistov,159
2021M01,Maribor,2.14 Irska,Prihodi turistov,
2021M01,Maribor,2.14 Irska,Prenočitve turistov,
2021M01,Maribor,2.15 Islandija,Prihodi turistov,
2021M01,Maribor,2.15 Islandija,Prenočitve turistov,
2021M01,Maribor,2.16 Italija,Prihodi turistov,34
2021M01,Maribor,2.16 Italija,Prenočitve turistov,98
2021M01,Maribor,2.17 Latvija,Prihodi turistov,
2021M01,Maribor,2.17 Latvija,Prenočitve turistov,
2021M01,Maribor,2.18 Litva,Prihodi turistov,0
2021M01,Maribor,2.18 Litva,Prenočitve turistov,31
2021M01,Maribor,2.19 Luksemburg,Prihodi turistov,
2021M01,Maribor,2.19 Luksemburg,Prenočitve turistov,
2021M01,Maribor,2.20 Madžarska,Prihodi turistov,21
2021M01,Maribor,2.20 Madžarska,Prenočitve turistov,112
2021M01,Maribor,2.21 Makedonija,Prihodi turistov,6
2021M01,Maribor,2.21 Makedonija,Prenočitve turistov,205
2021M01,Maribor,2.22 Malta,Prihodi turistov,
2021M01,Maribor,2.22 Malta,Prenočitve turistov,
2021M01,Maribor,2.23 Nemčija,Prihodi turistov,62
2021M01,Maribor,2.23 Nemčija,Prenočitve turistov,490
2021M01,Maribor,2.24 Nizozemska,Prihodi turistov,8
2021M01,Maribor,2.24 Nizozemska,Prenočitve turistov,16
2021M01,Maribor,2.25 Norveška,Prihodi turistov,
2021M01,Maribor,2.25 Norveška,Prenočitve turistov,
2021M01,Maribor,2.26 Poljska,Prihodi turistov,10
2021M01,Maribor,2.26 Poljska,Prenočitve turistov,17
2021M01,Maribor,2.27 Portugalska,Prihodi turistov,1
2021M01,Maribor,2.27 Portugalska,Prenočitve turistov,259
2021M01,Maribor,2.28 Romunija,Prihodi turistov,11
2021M01,Maribor,2.28 Romunija,Prenočitve turistov,11
2021M01,Maribor,2.29 Ruska federacija,Prihodi turistov,7
2021M01,Maribor,2.29 Ruska federacija,Prenočitve turistov,36
2021M01,Maribor,2.30 Slovaška,Prihodi turistov,22
2021M01,Maribor,2.30 Slovaška,Prenočitve turistov,57
2021M01,Maribor,2.31 Srbija,Prihodi turistov,49
2021M01,Maribor,2.31 Srbija,Prenočitve turistov,447
2021M01,Maribor,2.32 Španija,Prihodi turistov,3
2021M01,Maribor,2.32 Španija,Prenočitve turistov,406
2021M01,Maribor,2.33 Švedska,Prihodi turistov,1
2021M01,Maribor,2.33 Švedska,Prenočitve turistov,1
2021M01,Maribor,2.34 Švica,Prihodi turistov,4
2021M01,Maribor,2.34 Švica,Prenočitve turistov,6
2021M01,Maribor,2.35 Turčija,Prihodi turistov,0
2021M01,Maribor,2.35 Turčija,Prenočitve turistov,31
2021M01,Maribor,2.36 Ukrajina,Prihodi turistov,5
2021M01,Maribor,2.36 Ukrajina,Prenočitve turistov,12
2021M01,Maribor,2.37 Združeno kraljestvo,Prihodi turistov,3
2021M01,Maribor,2.37 Združeno kraljestvo,Prenočitve turistov,3
2021M01,Maribor,2.38 Druge evropske države,Prihodi turistov,11
2021M01,Maribor,2.38 Druge evropske države,Prenočitve turistov,20
2021M01,Maribor,2.39 Južna Afrika,Prihodi turistov,
2021M01,Maribor,2.39 Južna Afrika,Prenočitve turistov,
2021M01,Maribor,2.40 Druge afriške države,Prihodi turistov,2
2021M01,Maribor,2.40 Druge afriške države,Prenočitve turistov,60
2021M01,Maribor,2.41 Avstralija,Prihodi turistov,2
2021M01,Maribor,2.41 Avstralija,Prenočitve turistov,6
2021M01,Maribor,2.42 Nova Zelandija,Prihodi turistov,
2021M01,Maribor,2.42 Nova Zelandija,Prenočitve turistov,
2021M01,Maribor,2.43 Druge države in ozemlja Oceanije,Prihodi turistov,
2021M01,Maribor,2.43 Druge države in ozemlja Oceanije,Prenočitve turistov,
2021M01,Maribor,2.44 Izrael,Prihodi turistov,
2021M01,Maribor,2.44 Izrael,Prenočitve turistov,
2021M01,Maribor,2.45 Japonska,Prihodi turistov,
2021M01,Maribor,2.45 Japonska,Prenočitve turistov,
2021M01,Maribor,2.46 Kitajska (Ljudska republika),Prihodi turistov,
2021M01,Maribor,2.46 Kitajska (Ljudska republika),Prenočitve turistov,
2021M01,Maribor,2.47 Koreja (Republika),Prihodi turistov,
2021M01,Maribor,2.47 Koreja (Republika),Prenočitve turistov,
2021M01,Maribor,2.48 Druge azijske države,Prihodi turistov,1
2021M01,Maribor,2.48 Druge azijske države,Prenočitve turistov,36
2021M01,Maribor,2.49 Brazilija,Prihodi turistov,
2021M01,Maribor,2.49 Brazilija,Prenočitve turistov,
2021M01,Maribor,2.50 Druge države Južne in Srednje Amerike,Prihodi turistov,4
2021M01,Maribor,2.50 Druge države Južne in Srednje Amerike,Prenočitve turistov,72
2021M01,Maribor,2.51 Kanada,Prihodi turistov,
2021M01,Maribor,2.51 Kanada,Prenočitve turistov,
2021M01,Maribor,2.52 Združene države (ZDA),Prihodi turistov,12
2021M01,Maribor,2.52 Združene države (ZDA),Prenočitve turistov,62
2021M01,Maribor,2.53 Druge države in ozemlja Severne Amerike,Prihodi turistov,
2021M01,Maribor,2.53 Druge države in ozemlja Severne Amerike,Prenočitve turistov,
2021M02,Maribor,0 Država - SKUPAJ,Prihodi turistov,1007
2021M02,Maribor,0 Država - SKUPAJ,Prenočitve turistov,3946
2021M02,Maribor,1 DOMAČI,Prihodi turistov,396
2021M02,Maribor,1 DOMAČI,Prenočitve turistov,937
2021M02,Maribor,2 TUJI,Prihodi turistov,611
2021M02,Maribor,2 TUJI,Prenočitve turistov,3009
2021M02,Maribor,2.1 Avstrija,Prihodi turistov,69
2021M02,Maribor,2.1 Avstrija,Prenočitve turistov,136
2021M02,Maribor,2.2 Belgija,Prihodi turistov,
2021M02,Maribor,2.2 Belgija,Prenočitve turistov,
2021M02,Maribor,2.3 Bolgarija,Prihodi turistov,12
2021M02,Maribor,2.3 Bolgarija,Prenočitve turistov,24
2021M02,Maribor,2.4 Bosna in Hercegovina,Prihodi turistov,87
2021M02,Maribor,2.4 Bosna in Hercegovina,Prenočitve turistov,314
2021M02,Maribor,2.5 Ciper,Prihodi turistov,
2021M02,Maribor,2.5 Ciper,Prenočitve turistov,
2021M02,Maribor,2.6 Češka republika,Prihodi turistov,7
2021M02,Maribor,2.6 Češka republika,Prenočitve turistov,18
2021M02,Maribor,2.7 Črna gora,Prihodi turistov,7
2021M02,Maribor,2.7 Črna gora,Prenočitve turistov,113
2021M02,Maribor,2.8 Danska,Prihodi turistov,1
2021M02,Maribor,2.8 Danska,Prenočitve turistov,1
2021M02,Maribor,2.9 Estonija,Prihodi turistov,1
2021M02,Maribor,2.9 Estonija,Prenočitve turistov,1
2021M02,Maribor,2.10 Finska,Prihodi turistov,4
2021M02,Maribor,2.10 Finska,Prenočitve turistov,18
2021M02,Maribor,2.11 Francija,Prihodi turistov,7
2021M02,Maribor,2.11 Francija,Prenočitve turistov,92
2021M02,Maribor,2.12 Grčija,Prihodi turistov,4
2021M02,Maribor,2.12 Grčija,Prenočitve turistov,17
2021M02,Maribor,2.13 Hrvaška,Prihodi turistov,51
2021M02,Maribor,2.13 Hrvaška,Prenočitve turistov,179
2021M02,Maribor,2.14 Irska,Prihodi turistov,
2021M02,Maribor,2.14 Irska,Prenočitve turistov,
2021M02,Maribor,2.15 Islandija,Prihodi turistov,
2021M02,Maribor,2.15 Islandija,Prenočitve turistov,
2021M02,Maribor,2.16 Italija,Prihodi turistov,82
2021M02,Maribor,2.16 Italija,Prenočitve turistov,196
2021M02,Maribor,2.17 Latvija,Prihodi turistov,
2021M02,Maribor,2.17 Latvija,Prenočitve turistov,
2021M02,Maribor,2.18 Litva,Prihodi turistov,
2021M02,Maribor,2.18 Litva,Prenočitve turistov,
2021M02,Maribor,2.19 Luksemburg,Prihodi turistov,
2021M02,Maribor,2.19 Luksemburg,Prenočitve turistov,
2021M02,Maribor,2.20 Madžarska,Prihodi turistov,30
2021M02,Maribor,2.20 Madžarska,Prenočitve turistov,90
2021M02,Maribor,2.21 Makedonija,Prihodi turistov,10
2021M02,Maribor,2.21 Makedonija,Prenočitve turistov,154
2021M02,Maribor,2.22 Malta,Prihodi turistov,
2021M02,Maribor,2.22 Malta,Prenočitve turistov,
2021M02,Maribor,2.23 Nemčija,Prihodi turistov,58
2021M02,Maribor,2.23 Nemčija,Prenočitve turistov,333
2021M02,Maribor,2.24 Nizozemska,Prihodi turistov,7
2021M02,Maribor,2.24 Nizozemska,Prenočitve turistov,35
2021M02,Maribor,2.25 Norveška,Prihodi turistov,
2021M02,Maribor,2.25 Norveška,Prenočitve turistov,
2021M02,Maribor,2.26 Poljska,Prihodi turistov,14
2021M02,Maribor,2.26 Poljska,Prenočitve turistov,63
2021M02,Maribor,2.27 Portugalska,Prihodi turistov,1
2021M02,Maribor,2.27 Portugalska,Prenočitve turistov,19
2021M02,Maribor,2.28 Romunija,Prihodi turistov,24
2021M02,Maribor,2.28 Romunija,Prenočitve turistov,53
2021M02,Maribor,2.29 Ruska federacija,Prihodi turistov,3
2021M02,Maribor,2.29 Ruska federacija,Prenočitve turistov,19
2021M02,Maribor,2.30 Slovaška,Prihodi turistov,23
2021M02,Maribor,2.30 Slovaška,Prenočitve turistov,29
2021M02,Maribor,2.31 Srbija,Prihodi turistov,80
2021M02,Maribor,2.31 Srbija,Prenočitve turistov,455
2021M02,Maribor,2.32 Španija,Prihodi turistov,10
2021M02,Maribor,2.32 Španija,Prenočitve turistov,333
2021M02,Maribor,2.33 Švedska,Prihodi turistov,
2021M02,Maribor,2.33 Švedska,Prenočitve turistov,
2021M02,Maribor,2.34 Švica,Prihodi turistov,5
2021M02,Maribor,2.34 Švica,Prenočitve turistov,18
2021M02,Maribor,2.35 Turčija,Prihodi turistov,2
2021M02,Maribor,2.35 Turčija,Prenočitve turistov,38
2021M02,Maribor,2.36 Ukrajina,Prihodi turistov,5
2021M02,Maribor,2.36 Ukrajina,Prenočitve turistov,31
2021M02,Maribor,2.37 Združeno kraljestvo,Prihodi turistov,0
2021M02,Maribor,2.37 Združeno kraljestvo,Prenočitve turistov,18
2021M02,Maribor,2.38 Druge evropske države,Prihodi turistov,1
2021M02,Maribor,2.38 Druge evropske države,Prenočitve turistov,1
2021M02,Maribor,2.39 Južna Afrika,Prihodi turistov,1
2021M02,Maribor,2.39 Južna Afrika,Prenočitve turistov,4
2021M02,Maribor,2.40 Druge afriške države,Prihodi turistov,0
2021M02,Maribor,2.40 Druge afriške države,Prenočitve turistov,56
2021M02,Maribor,2.41 Avstralija,Prihodi turistov,
2021M02,Maribor,2.41 Avstralija,Prenočitve turistov,
2021M02,Maribor,2.42 Nova Zelandija,Prihodi turistov,
2021M02,Maribor,2.42 Nova Zelandija,Prenočitve turistov,
2021M02,Maribor,2.43 Druge države in ozemlja Oceanije,Prihodi turistov,
2021M02,Maribor,2.43 Druge države in ozemlja Oceanije,Prenočitve turistov,
2021M02,Maribor,2.44 Izrael,Prihodi turistov,
2021M02,Maribor,2.44 Izrael,Prenočitve turistov,
2021M02,Maribor,2.45 Japonska,Prihodi turistov,
2021M02,Maribor,2.45 Japonska,Prenočitve turistov,
2021M02,Maribor,2.46 Kitajska (Ljudska republika),Prihodi turistov,1
2021M02,Maribor,2.46 Kitajska (Ljudska republika),Prenočitve turistov,4
2021M02,Maribor,2.47 Koreja (Republika),Prihodi turistov,
2021M02,Maribor,2.47 Koreja (Republika),Prenočitve turistov,
2021M02,Maribor,2.48 Druge azijske države,Prihodi turistov,2
2021M02,Maribor,2.48 Druge azijske države,Prenočitve turistov,33
2021M02,Maribor,2.49 Brazilija,Prihodi turistov,1
2021M02,Maribor,2.49 Brazilija,Prenočitve turistov,1
2021M02,Maribor,2.50 Druge države Južne in Srednje Amerike,Prihodi turistov,0
2021M02,Maribor,2.50 Druge države Južne in Srednje Amerike,Prenočitve turistov,112
2021M02,Maribor,2.51 Kanada,Prihodi turistov,
2021M02,Maribor,2.51 Kanada,Prenočitve turistov,
2021M02,Maribor,2.52 Združene države (ZDA),Prihodi turistov,1
2021M02,Maribor,2.52 Združene države (ZDA),Prenočitve turistov,1
2021M02,Maribor,2.53 Druge države in ozemlja Severne Amerike,Prihodi turistov,
2021M02,Maribor,2.53 Druge države in ozemlja Severne Amerike,Prenočitve turistov,
2021M03,Maribor,0 Država - SKUPAJ,Prihodi turistov,1430
2021M03,Maribor,0 Država - SKUPAJ,Prenočitve turistov,6226
2021M03,Maribor,1 DOMAČI,Prihodi turistov,479
2021M03,Maribor,1 DOMAČI,Prenočitve turistov,1470
2021M03,Maribor,2 TUJI,Prihodi turistov,951
2021M03,Maribor,2 TUJI,Prenočitve turistov,4756
2021M03,Maribor,2.1 Avstrija,Prihodi turistov,125
2021M03,Maribor,2.1 Avstrija,Prenočitve turistov,213
2021M03,Maribor,2.2 Belgija,Prihodi turistov,3
2021M03,Maribor,2.2 Belgija,Prenočitve turistov,5
2021M03,Maribor,2.3 Bolgarija,Prihodi turistov,5
2021M03,Maribor,2.3 Bolgarija,Prenočitve turistov,7
2021M03,Maribor,2.4 Bosna in Hercegovina,Prihodi turistov,80
2021M03,Maribor,2.4 Bosna in Hercegovina,Prenočitve turistov,283
2021M03,Maribor,2.5 Ciper,Prihodi turistov,
2021M03,Maribor,2.5 Ciper,Prenočitve turistov,
2021M03,Maribor,2.6 Češka republika,Prihodi turistov,47
2021M03,Maribor,2.6 Češka republika,Prenočitve turistov,360
2021M03,Maribor,2.7 Črna gora,Prihodi turistov,9
2021M03,Maribor,2.7 Črna gora,Prenočitve turistov,107
2021M03,Maribor,2.8 Danska,Prihodi turistov,2
2021M03,Maribor,2.8 Danska,Prenočitve turistov,2
2021M03,Maribor,2.9 Estonija,Prihodi turistov,1
2021M03,Maribor,2.9 Estonija,Prenočitve turistov,2
2021M03,Maribor,2.10 Finska,Prihodi turistov,1
2021M03,Maribor,2.10 Finska,Prenočitve turistov,63
2021M03,Maribor,2.11 Francija,Prihodi turistov,21
2021M03,Maribor,2.11 Francija,Prenočitve turistov,215
2021M03,Maribor,2.12 Grčija,Prihodi turistov,8
2021M03,Maribor,2.12 Grčija,Prenočitve turistov,139
2021M03,Maribor,2.13 Hrvaška,Prihodi turistov,90
2021M03,Maribor,2.13 Hrvaška,Prenočitve turistov,310
2021M03,Maribor,2.14 Irska,Prihodi turistov,
2021M03,Maribor,2.14 Irska,Prenočitve turistov,
2021M03,Maribor,2.15 Islandija,Prihodi turistov,
2021M03,Maribor,2.15 Islandija,Prenočitve turistov,
2021M03,Maribor,2.16 Italija,Prihodi turistov,104
2021M03,Maribor,2.16 Italija,Prenočitve turistov,738
2021M03,Maribor,2.17 Latvija,Prihodi turistov,3
2021M03,Maribor,2.17 Latvija,Prenočitve turistov,59
2021M03,Maribor,2.18 Litva,Prihodi turistov,6
2021M03,Maribor,2.18 Litva,Prenočitve turistov,36
2021M03,Maribor,2.19 Luksemburg,Prihodi turistov,
2021M03,Maribor,2.19 Luksemburg,Prenočitve turistov,
2021M03,Maribor,2.20 Madžarska,Prihodi turistov,44
2021M03,Maribor,2.20 Madžarska,Prenočitve turistov,95
2021M03,Maribor,2.21 Makedonija,Prihodi turistov,6
2021M03,Maribor,2.21 Makedonija,Prenočitve turistov,71
2021M03,Maribor,2.22 Malta,Prihodi turistov,
2021M03,Maribor,2.22 Malta,Prenočitve turistov,
2021M03,Maribor,2.23 Nemčija,Prihodi turistov,106
2021M03,Maribor,2.23 Nemčija,Prenočitve turistov,521
2021M03,Maribor,2.24 Nizozemska,Prihodi turistov,9
2021M03,Maribor,2.24 Nizozemska,Prenočitve turistov,18
2021M03,Maribor,2.25 Norveška,Prihodi turistov,
2021M03,Maribor,2.25 Norveška,Prenočitve turistov,
2021M03,Maribor,2.26 Poljska,Prihodi turistov,23
2021M03,Maribor,2.26 Poljska,Prenočitve turistov,119
2021M03,Maribor,2.27 Portugalska,Prihodi turistov,1
2021M03,Maribor,2.27 Portugalska,Prenočitve turistov,20
2021M03,Maribor,2.28 Romunija,Prihodi turistov,78
2021M03,Maribor,2.28 Romunija,Prenočitve turistov,149
2021M03,Maribor,2.29 Ruska federacija,Prihodi turistov,8
2021M03,Maribor,2.29 Ruska federacija,Prenočitve turistov,32
2021M03,Maribor,2.30 Slovaška,Prihodi turistov,30
2021M03,Maribor,2.30 Slovaška,Prenočitve turistov,141
2021M03,Maribor,2.31 Srbija,Prihodi turistov,83
2021M03,Maribor,2.31 Srbija,Prenočitve turistov,488
2021M03,Maribor,2.32 Španija,Prihodi turistov,8
2021M03,Maribor,2.32 Španija,Prenočitve turistov,80
2021M03,Maribor,2.33 Švedska,Prihodi turistov,1
2021M03,Maribor,2.33 Švedska,Prenočitve turistov,1
2021M03,Maribor,2.34 Švica,Prihodi turistov,11
2021M03,Maribor,2.34 Švica,Prenočitve turistov,50
2021M03,Maribor,2.35 Turčija,Prihodi turistov,5
2021M03,Maribor,2.35 Turčija,Prenočitve turistov,148
2021M03,Maribor,2.36 Ukrajina,Prihodi turistov,11
2021M03,Maribor,2.36 Ukrajina,Prenočitve turistov,27
2021M03,Maribor,2.37 Združeno kraljestvo,Prihodi turistov,10
2021M03,Maribor,2.37 Združeno kraljestvo,Prenočitve turistov,45
2021M03,Maribor,2.38 Druge evropske države,Prihodi turistov,3
2021M03,Maribor,2.38 Druge evropske države,Prenočitve turistov,4
2021M03,Maribor,2.39 Južna Afrika,Prihodi turistov,
2021M03,Maribor,2.39 Južna Afrika,Prenočitve turistov,
2021M03,Maribor,2.40 Druge afriške države,Prihodi turistov,1
2021M03,Maribor,2.40 Druge afriške države,Prenočitve turistov,43
2021M03,Maribor,2.41 Avstralija,Prihodi turistov,1
2021M03,Maribor,2.41 Avstralija,Prenočitve turistov,12
2021M03,Maribor,2.42 Nova Zelandija,Prihodi turistov,
2021M03,Maribor,2.42 Nova Zelandija,Prenočitve turistov,
2021M03,Maribor,2.43 Druge države in ozemlja Oceanije,Prihodi turistov,
2021M03,Maribor,2.43 Druge države in ozemlja Oceanije,Prenočitve turistov,
2021M03,Maribor,2.44 Izrael,Prihodi turistov,
2021M03,Maribor,2.44 Izrael,Prenočitve turistov,
2021M03,Maribor,2.45 Japonska,Prihodi turistov,1
2021M03,Maribor,2.45 Japonska,Prenočitve turistov,1
2021M03,Maribor,2.46 Kitajska (Ljudska republika),Prihodi turistov,
2021M03,Maribor,2.46 Kitajska (Ljudska republika),Prenočitve turistov,
2021M03,Maribor,2.47 Koreja (Republika),Prihodi turistov,2
2021M03,Maribor,2.47 Koreja (Republika),Prenočitve turistov,4
2021M03,Maribor,2.48 Druge azijske države,Prihodi turistov,1
2021M03,Maribor,2.48 Druge azijske države,Prenočitve turistov,18
2021M03,Maribor,2.49 Brazilija,Prihodi turistov,2
2021M03,Maribor,2.49 Brazilija,Prenočitve turistov,5
2021M03,Maribor,2.50 Druge države Južne in Srednje Amerike,Prihodi turistov,0
2021M03,Maribor,2.50 Druge države Južne in Srednje Amerike,Prenočitve turistov,124
2021M03,Maribor,2.51 Kanada,Prihodi turistov,
2021M03,Maribor,2.51 Kanada,Prenočitve turistov,
2021M03,Maribor,2.52 Združene države (ZDA),Prihodi turistov,1
2021M03,Maribor,2.52 Združene države (ZDA),Prenočitve turistov,1
2021M03,Maribor,2.53 Druge države in ozemlja Severne Amerike,Prihodi turistov,
2021M03,Maribor,2.53 Druge države in ozemlja Severne Amerike,Prenočitve turistov,
2021M04,Maribor,0 Država - SKUPAJ,Prihodi turistov,1253
2021M04,Maribor,0 Država - SKUPAJ,Prenočitve turistov,5080
2021M04,Maribor,1 DOMAČI,Prihodi turistov,517
2021M04,Maribor,1 DOMAČI,Prenočitve turistov,934
2021M04,Maribor,2 TUJI,Prihodi turistov,736
2021M04,Maribor,2 TUJI,Prenočitve turistov,4146
2021M04,Maribor,2.1 Avstrija,Prihodi turistov,78
2021M04,Maribor,2.1 Avstrija,Prenočitve turistov,110
2021M04,Maribor,2.2 Belgija,Prihodi turistov,2
2021M04,Maribor,2.2 Belgija,Prenočitve turistov,3
2021M04,Maribor,2.3 Bolgarija,Prihodi turistov,26
2021M04,Maribor,2.3 Bolgarija,Prenočitve turistov,27
2021M04,Maribor,2.4 Bosna in Hercegovina,Prihodi turistov,45
2021M04,Maribor,2.4 Bosna in Hercegovina,Prenočitve turistov,165
2021M04,Maribor,2.5 Ciper,Prihodi turistov,
2021M04,Maribor,2.5 Ciper,Prenočitve turistov,
2021M04,Maribor,2.6 Češka republika,Prihodi turistov,22
2021M04,Maribor,2.6 Češka republika,Prenočitve turistov,140
2021M04,Maribor,2.7 Črna gora,Prihodi turistov,4
2021M04,Maribor,2.7 Črna gora,Prenočitve turistov,88
2021M04,Maribor,2.8 Danska,Prihodi turistov,
2021M04,Maribor,2.8 Danska,Prenočitve turistov,
2021M04,Maribor,2.9 Estonija,Prihodi turistov,
2021M04,Maribor,2.9 Estonija,Prenočitve turistov,
2021M04,Maribor,2.10 Finska,Prihodi turistov,1
2021M04,Maribor,2.10 Finska,Prenočitve turistov,61
2021M04,Maribor,2.11 Francija,Prihodi turistov,15
2021M04,Maribor,2.11 Francija,Prenočitve turistov,320
2021M04,Maribor,2.12 Grčija,Prihodi turistov,2
2021M04,Maribor,2.12 Grčija,Prenočitve turistov,157
2021M04,Maribor,2.13 Hrvaška,Prihodi turistov,59
2021M04,Maribor,2.13 Hrvaška,Prenočitve turistov,222
2021M04,Maribor,2.14 Irska,Prihodi turistov,
2021M04,Maribor,2.14 Irska,Prenočitve turistov,
2021M04,Maribor,2.15 Islandija,Prihodi turistov,
2021M04,Maribor,2.15 Islandija,Prenočitve turistov,
2021M04,Maribor,2.16 Italija,Prihodi turistov,59
2021M04,Maribor,2.16 Italija,Prenočitve turistov,231
2021M04,Maribor,2.17 Latvija,Prihodi turistov,1
2021M04,Maribor,2.17 Latvija,Prenočitve turistov,91
2021M04,Maribor,2.18 Litva,Prihodi turistov,2
2021M04,Maribor,2.18 Litva,Prenočitve turistov,92
2021M04,Maribor,2.19 Luksemburg,Prihodi turistov,
2021M04,Maribor,2.19 Luksemburg,Prenočitve turistov,
2021M04,Maribor,2.20 Madžarska,Prihodi turistov,30
2021M04,Maribor,2.20 Madžarska,Prenočitve turistov,70
2021M04,Maribor,2.21 Makedonija,Prihodi turistov,9
2021M04,Maribor,2.21 Makedonija,Prenočitve turistov,41
2021M04,Maribor,2.22 Malta,Prihodi turistov,
2021M04,Maribor,2.22 Malta,Prenočitve turistov,
2021M04,Maribor,2.23 Nemčija,Prihodi turistov,79
2021M04,Maribor,2.23 Nemčija,Prenočitve turistov,326
2021M04,Maribor,2.24 Nizozemska,Prihodi turistov,16
2021M04,Maribor,2.24 Nizozemska,Prenočitve turistov,34
2021M04,Maribor,2.25 Norveška,Prihodi turistov,31
2021M04,Maribor,2.25 Norveška,Prenočitve turistov,289
2021M04,Maribor,2.26 Poljska,Prihodi turistov,40
2021M04,Maribor,2.26 Poljska,Prenočitve turistov,131
2021M04,Maribor,2.27 Portugalska,Prihodi turistov,1
2021M04,Maribor,2.27 Portugalska,Prenočitve turistov,34
2021M04,Maribor,2.28 Romunija,Prihodi turistov,25
2021M04,Maribor,2.28 Romunija,Prenočitve turistov,119
2021M04,Maribor,2.29 Ruska federacija,Prihodi turistov,3
2021M04,Maribor,2.29 Ruska federacija,Prenočitve turistov,8
2021M04,Maribor,2.30 Slovaška,Prihodi turistov,37
2021M04,Maribor,2.30 Slovaška,Prenočitve turistov,164
2021M04,Maribor,2.31 Srbija,Prihodi turistov,61
2021M04,Maribor,2.31 Srbija,Prenočitve turistov,329
2021M04,Maribor,2.32 Španija,Prihodi turistov,18
2021M04,Maribor,2.32 Španija,Prenočitve turistov,350
2021M04,Maribor,2.33 Švedska,Prihodi turistov,6
2021M04,Maribor,2.33 Švedska,Prenočitve turistov,6
2021M04,Maribor,2.34 Švica,Prihodi turistov,3
2021M04,Maribor,2.34 Švica,Prenočitve turistov,42
2021M04,Maribor,2.35 Turčija,Prihodi turistov,6
2021M04,Maribor,2.35 Turčija,Prenočitve turistov,204
2021M04,Maribor,2.36 Ukrajina,Prihodi turistov,14
2021M04,Maribor,2.36 Ukrajina,Prenočitve turistov,39
2021M04,Maribor,2.37 Združeno kraljestvo,Prihodi turistov,2
2021M04,Maribor,2.37 Združeno kraljestvo,Prenočitve turistov,28
2021M04,Maribor,2.38 Druge evropske države,Prihodi turistov,15
2021M04,Maribor,2.38 Druge evropske države,Prenočitve turistov,23
2021M04,Maribor,2.39 Južna Afrika,Prihodi turistov,
2021M04,Maribor,2.39 Južna Afrika,Prenočitve turistov,
2021M04,Maribor,2.40 Druge afriške države,Prihodi turistov,2
2021M04,Maribor,2.40 Druge afriške države,Prenočitve turistov,54
2021M04,Maribor,2.41 Avstralija,Prihodi turistov,1
2021M04,Maribor,2.41 Avstralija,Prenočitve turistov,1
2021M04,Maribor,2.42 Nova Zelandija,Prihodi turistov,
2021M04,Maribor,2.42 Nova Zelandija,Prenočitve turistov,
2021M04,Maribor,2.43 Druge države in ozemlja Oceanije,Prihodi turistov,
2021M04,Maribor,2.43 Druge države in ozemlja Oceanije,Prenočitve turistov,
2021M04,Maribor,2.44 Izrael,Prihodi turistov,2
2021M04,Maribor,2.44 Izrael,Prenočitve turistov,2
2021M04,Maribor,2.45 Japonska,Prihodi turistov,
2021M04,Maribor,2.45 Japonska,Prenočitve turistov,
2021M04,Maribor,2.46 Kitajska (Ljudska republika),Prihodi turistov,1
2021M04,Maribor,2.46 Kitajska (Ljudska republika),Prenočitve turistov,2
2021M04,Maribor,2.47 Koreja (Republika),Prihodi turistov,
2021M04,Maribor,2.47 Koreja (Republika),Prenočitve turistov,
2021M04,Maribor,2.48 Druge azijske države,Prihodi turistov,8
2021M04,Maribor,2.48 Druge azijske države,Prenočitve turistov,16
2021M04,Maribor,2.49 Brazilija,Prihodi turistov,1
